BensDeclarados;nr_candidato
R$ 0,00;31168
R$ 1.712.624,00;15153
R$ 2.141.465,00;11111
R$ 103.205,00;51605
R$ 0,00;20222
R$ 165.000,00;20020
R$ 3.865.918,00;55111
R$ 575.735,00;27003
R$ 160.000,00;28666
R$ 160.000,00;28999
R$ 0,00;77888
R$ 15.500,00;65145
R$ 0,00;10999
R$ 0,00;50750
R$ 154.000,00;50507
R$ 181.394,00;65654
R$ 3.714,00;55700
R$ 1.931.000,00;25700
R$ 5.000,00;18996
R$ 90.000,00;50550
R$ 23.000,00;51001
R$ 0,00;20077
R$ 20.000,00;15123
R$ 5.290.186,00;55000
R$ 1.497.905,00;40123
R$ 1.093.655,00;25100
R$ 100.000,00;65486
R$ 370.000,00;50600
R$ 0,00;50800
R$ 0,00;14666
R$ 0,00;50456
R$ 35.000,00;10133
R$ 975.115,00;65321
R$ 605.000,00;10246
R$ 138.069,00;23000
R$ 0,00;15789
R$ 0,00;50014
R$ 120.000,00;50021
R$ 0,00;36321
R$ 330.000,00;15222
R$ 0,00;90090
R$ 0,00;31222
R$ 749.167,00;43123
R$ 169.500,00;51185
R$ 0,00;31331
R$ 91.553,00;50350
R$ 5.000,00;10777
R$ 366.199,00;40100
R$ 276.479,00;19999
R$ 0,00;50888
R$ 0,00;14636
R$ 0,00;51651
R$ 195.000,00;51635
R$ 0,00;77555
R$ 1.126.227,00;11011
R$ 105.500,00;18456
R$ 0,00;36910
R$ 150.000,00;29029
R$ 400.000,00;77190
R$ 4.582.654,00;45670
R$ 0,00;25766
R$ 667.000,00;65100
R$ 300.000,00;77137
R$ 0,00;50055
R$ 20.000,00;13133
R$ 0,00;28800
R$ 340.107,00;36456
R$ 17.000,00;51155
R$ 66.533,00;65555
R$ 520.000,00;13613
R$ 0,00;20002
R$ 231.000,00;20012
R$ 0,00;36007
R$ 466.016,00;65888
R$ 0,00;10555
R$ 0,00;44333
R$ 0,00;50024
R$ 75.123,00;17789
R$ 60.000,00;51000
R$ 185.000,00;28190
R$ 16.000,00;17190
R$ 32.900,00;65155
R$ 310.000,00;65444
R$ 621.000,00;11456
R$ 14.000,00;20555
R$ 0,00;50555
R$ 362.000,00;17380
R$ 0,00;20300
R$ 140.000,00;17555
R$ 10.000,00;15111
R$ 0,00;51017
R$ 0,00;36900
R$ 0,00;27380
R$ 598.999,00;45170
R$ 210.000,00;50850
R$ 56.300,00;40333
R$ 1.048.500,00;27007
R$ 0,00;20125
R$ 0,00;77333
R$ 15.000,00;50900
R$ 10.000,00;50222
R$ 442.148,00;17333
R$ 0,00;27270
R$ 140.000,00;65621
R$ 120.000,00;13467
R$ 28.000,00;50444
R$ 0,00;31010
R$ 80.000,00;77000
R$ 0,00;27009
R$ 632.768,00;65123
R$ 0,00;50509
R$ 0,00;51676
R$ 150.000,00;40340
R$ 70.000,00;36611
R$ 5.671.387,00;55400
R$ 50,00;51091
R$ 140.000,00;65765
R$ 0,00;27008
R$ 127.000,00;35321
R$ 956.355,00;15190
R$ 0,00;31190
R$ 70.059,00;23091
R$ 44.133,00;40789
R$ 0,00;25152
R$ 0,00;25250
R$ 0,00;20377
R$ 350.000,00;70111
R$ 1.855.000,00;65222
R$ 0,00;14222
R$ 40.000,00;65180
R$ 2.285.000,00;17700
R$ 1.145.000,00;36600
R$ 0,00;77666
R$ 0,00;51013
R$ 372.000,00;13555
R$ 0,00;43000
R$ 45.000,00;50950
R$ 0,00;51180
R$ 181.425,00;51146
R$ 0,00;54201
R$ 6.500,00;77500
R$ 54.000,00;65169
R$ 30.000,00;12007
R$ 825.270,00;23999
R$ 0,00;54054
R$ 0,00;25050
R$ 3.046.125,00;55255
R$ 770.000,00;15159
R$ 0,00;25420
R$ 4.998.499,00;77101
R$ 0,00;10010
R$ 1.175.923,00;14444
R$ 0,00;36123
R$ 1.903.250,00;12313
R$ 46.000,00;20026
R$ 0,00;36555
R$ 580.000,00;51551
R$ 656.351,00;77123
R$ 72.000,00;77111
R$ 74.022,00;17444
R$ 0,00;36017
R$ 1.145.389,00;77444
R$ 545.000,00;19192
R$ 492.002,00;45800
R$ 208.198,00;45192
R$ 192.527,00;12555
R$ 801.500,00;10888
R$ 0,00;31420
R$ 210.000,00;10013
R$ 0,00;43350
R$ 145.990,00;43121
R$ 5.000,00;10166
R$ 0,00;31112
R$ 139.000,00;50450
R$ 155.101,00;43184
R$ 0,00;31600
R$ 246.982,00;36622
R$ 0,00;15777
R$ 673.000,00;14114
R$ 747.067,00;55333
R$ 2.240.860,00;11222
R$ 40.000,00;36789
R$ 96.000,00;43333
R$ 7.000,00;90222
R$ 18.000,00;51203
R$ 0,00;27015
R$ 80.000,00;20215
R$ 75.000,00;23111
R$ 0,00;77192
R$ 700,00;18777
R$ 0,00;17017
R$ 0,00;17654
R$ 40.900,00;12789
R$ 455.362,00;65665
R$ 70.000,00;27777
R$ 3.000,00;27888
R$ 0,00;31110
R$ 343.817,00;45112
R$ 2.545.835,00;12393
R$ 0,00;36224
R$ 0,00;17999
R$ 30.000,00;20500
R$ 120.000,00;36001
R$ 1.192.875,00;40040
R$ 684.000,00;65333
R$ 391.896,00;10333
R$ 0,00;36566
R$ 358.398,00;19678
R$ 0,00;77999
R$ 170.000,00;77600
R$ 226.614,00;44123
R$ 250.000,00;13567
R$ 0,00;28555
R$ 215.000,00;50005
R$ 330.000,00;14777
R$ 0,00;50705
R$ 0,00;36024
R$ 45.250,00;25118
R$ 0,00;36361
R$ 0,00;51613
R$ 58.290,00;40777
R$ 200.000,00;45450
R$ 0,00;36113
R$ 279.501,00;13123
R$ 0,00;50013
R$ 0,00;20201
R$ 0,00;20023
R$ 414.977,00;15140
R$ 0,00;27222
R$ 998.000,00;13800
R$ 82.000,00;50333
R$ 0,00;36888
R$ 500.000,00;77445
R$ 2.900,00;20580
R$ 0,00;15000
R$ 0,00;36773
R$ 642.964,00;20000
R$ 103.000,00;50150
R$ 0,00;36050
R$ 600.000,00;51700
R$ 0,00;77077
R$ 20.000,00;65130
R$ 0,00;36774
R$ 329.000,00;17777
R$ 0,00;31999
R$ 35.000,00;28222
R$ 0,00;36044
R$ 0,00;20139
R$ 122.800,00;77727
R$ 0,00;20337
R$ 0,00;51300
R$ 55.500,00;54111
R$ 4.000,00;10500
R$ 1.263.000,00;20066
R$ 60.000,00;54170
R$ 912.000,00;54444
R$ 5.000,00;22000
R$ 120.000,00;13213
R$ 22.237,00;50180
R$ 0,00;20700
R$ 15.000,00;31555
R$ 282.000,00;18000
R$ 0,00;31000
R$ 645.000,00;36700
R$ 2.045.515,00;55456
R$ 185.000,00;65220
R$ 200.000,00;33123
R$ 10,00;65657
R$ 0,00;77678
R$ 0,00;77678
R$ 220.000,00;13000
R$ 76.000,00;20199
R$ 195.177,00;13110
R$ 0,00;36733
R$ 0,00;77001
R$ 0,00;36777
R$ 0,00;17400
R$ 9.938,00;65656
R$ 120.000,00;19023
R$ 0,00;31031
R$ 135.500,00;18123
R$ 848.688,00;19019
R$ 0,00;36124
R$ 0,00;65455
R$ 6.000,00;50650
R$ 10.000,00;50123
R$ 0,00;50050
R$ 0,00;36150
R$ 132.057,00;70000
R$ 70.000,00;36036
R$ 0,00;17750
R$ 125.000,00;25012
R$ 299.000,00;77456
R$ 0,00;17888
R$ 546.000,00;13456
R$ 0,00;36234
R$ 0,00;36999
R$ 192.000,00;51222
R$ 3.000,00;51100
R$ 0,00;18001
R$ 0,00;77777
R$ 137.030,00;51116
R$ 0,00;65133
R$ 169.000,00;20220
R$ 40.000,00;20133
R$ 99.952,00;10456
R$ 15.000,00;17330
R$ 787.434,00;14123
R$ 181.000,00;27193
R$ 323.000,00;51007
R$ 800.000,00;27000
R$ 0,00;27600
R$ 340.000,00;17051
R$ 0,00;31111
R$ 10.000,00;10123
R$ 1.968.656,00;44444
R$ 0,00;31900
R$ 1.095.551,00;55222
R$ 0,00;36922
R$ 0,00;31666
R$ 1.400,00;51495
R$ 0,00;36079
R$ 0,00;51388
R$ 600,00;23011
R$ 165.000,00;13666
R$ 40.000,00;15686
R$ 0,00;43069
R$ 21.886,00;23444
R$ 43.430,00;18018
R$ 478.993,00;14100
R$ 100.000,00;50000
R$ 696.104,00;22888
R$ 93.453,00;20777
R$ 20.500,00;51945
R$ 898.962,00;55789
R$ 0,00;36666
R$ 0,00;18444
R$ 0,00;31444
R$ 354.648,00;25111
R$ 43.000,00;65655
R$ 0,00;17003
R$ 0,00;31003
R$ 0,00;51088
R$ 6.000,00;51510
R$ 707.000,00;51251
R$ 0,00;54000
R$ 90.900,00;51122
R$ 424.784,00;25888
R$ 1.137.219,00;25025
R$ 1.300.793,00;25222
R$ 70.000,00;27001
R$ 0,00;51005
R$ 250.000,00;36002
R$ 130.000,00;23018
R$ 439.790,00;13030
R$ 2.356.552,00;11000
R$ 298.060,00;13031
R$ 2.197.000,00;31234
R$ 3.356,00;19123
R$ 243.381,00;25125
R$ 100.000,00;45123
R$ 20.000,00;28100
R$ 350.000,00;77575
R$ 845.290,00;17133
R$ 0,00;31400
R$ 44.000,00;20333
R$ 11.500,00;18888
R$ 579.751,00;40000
R$ 1.495.194,00;13140
R$ 680.840,00;45000
R$ 13.000,00;31456
R$ 0,00;77369
R$ 0,00;45550
R$ 977.378,00;51051
R$ 0,00;77789
R$ 430.000,00;36778
R$ 0,00;18555
R$ 2.100.000,00;20120
R$ 98.000,00;77700
R$ 0,00;36987
R$ 0,00;36000
R$ 0,00;31007
R$ 0,00;36923
R$ 1.967.676,00;13131
R$ 0,00;50258
R$ 350.750,00;27127
R$ 0,00;43612
R$ 1.145.248,00;40888
R$ 64.000,00;50777
R$ 344.991,00;45454
R$ 0,00;36907
R$ 158.552,00;23333
R$ 28.068,00;25075
R$ 0,00;25031
R$ 1.861.135,00;19789
R$ 585.591,00;25300
R$ 5.200,00;10000
R$ 838.870,00;51380
R$ 0,00;36633
R$ 0,00;54123
R$ 245.000,00;11233
R$ 250.000,00;15999
R$ 809.000,00;55888
R$ 0,00;36110
R$ 0,00;18800
R$ 0,00;27111
R$ 0,00;51204
R$ 2.350,00;51101
R$ 0,00;36022
R$ 90.400,00;77222
R$ 10.000,00;20127
R$ 0,00;20001
R$ 0,00;17221
R$ 0,00;31005
R$ 0,00;36800
R$ 6.576.431,00;11555
R$ 0,00;31333
R$ 775.248,00;18963
R$ 10.000,00;51177
R$ 0,00;27277
R$ 318.315,00;13690
R$ 549.000,00;15555
R$ 0,00;31393
R$ 200.000,00;11777
R$ 0,00;50987
R$ 680.000,00;11666
R$ 0,00;36111
R$ 0,00;25201
R$ 0,00;36457
R$ 160.000,00;28999
R$ 411.425,00;65500
R$ 378.753,00;13013
R$ 0,00;33500
R$ 150.000,00;77345
R$ 641.107,00;51111
R$ 1.860.649,00;25678
R$ 178.000,00;51451
R$ 947.000,00;20100
R$ 20.000,00;51555
R$ 273.900,00;20200
R$ 972.950,00;51999
R$ 653.200,00;51123
R$ 446.000,00;55123
R$ 330.000,00;15456
R$ 0,00;77022
R$ 20.000,00;28000
R$ 0,00;31311
R$ 35.512,00;14690
R$ 0,00;50060
R$ 150.000,00;44777
R$ 28.288,00;65111
R$ 922.617,00;45500
R$ 0,00;20150
R$ 833.640,00;13113
R$ 0,00;36190
R$ 233.000,00;43192
R$ 50.000,00;18333
R$ 0,00;27027
R$ 292.463,00;10444
R$ 571.840,00;25000
R$ 750.000,00;51456
R$ 0,00;31345
R$ 0,00;31888
R$ 576.000,00;51888
R$ 0,00;20888
R$ 70.000,00;51316
R$ 65.500,00;51200
R$ 0,00;33036
R$ 0,00;15679
R$ 30.000,00;50111
R$ 79.067,00;25070
R$ 350.000,00;50322
R$ 335.000,00;50250
R$ 600.000,00;50700
R$ 0,00;50100
R$ 0,00;36222
R$ 0,00;36010
R$ 0,00;43444
R$ 0,00;27533
R$ 0,00;31123
R$ 315.000,00;50500
R$ 600.000,00;17111
R$ 210.000,00;50245
R$ 886.727,00;65213
R$ 109.635,00;65165
R$ 870.000,00;18885
R$ 0,00;36212
R$ 787.903,00;65678
R$ 3.360.000,00;11333
R$ 175.000,00;65999
R$ 19.500,00;51202
R$ 0,00;15665
R$ 15.000,00;10222
R$ 0,00;25009
R$ 225.000,00;13050
R$ 55.020,00;14555
R$ 1.141.317,00;19073
R$ 19.000,00;27012
R$ 0,00;36936
R$ 0,00;31180
R$ 20.078.357,00;12333
R$ 0,00;20658
R$ 30.000,00;15715
R$ 0,00;90001
R$ 51.000,00;51690
R$ 0,00;31720
R$ 13.093.262,00;22222
R$ 63.339,00;36400
R$ 965.956,00;17038
R$ 5.691,00;51567
R$ 0,00;51800
R$ 659.000,00;51015
R$ 0,00;28888
R$ 465.100,00;65755
R$ 700.000,00;18122
R$ 630.979,00;11234
R$ 1.620.056,00;12345
R$ 730.000,00;40222
R$ 809.529,00;23222
R$ 5.945.845,00;11444
R$ 651.464,00;13500
R$ 209.900,00;51515
R$ 10.000,00;44630
R$ 0,00;36333
R$ 68.011,00;51678
R$ 0,00;55444
R$ 45.875,00;65101
R$ 0,00;27123
R$ 128.000,00;17222
R$ 0,00;50077
R$ 162.000,00;25525
R$ 1.502.580,00;13444
R$ 553.000,00;51444
R$ 125.000,00;13333
R$ 1.680.000,00;51234
R$ 0,00;36100
R$ 0,00;40500
R$ 197.088,00;43111
R$ 0,00;36444
R$ 788.549,00;12133
R$ 3.800,00;15678
R$ 500.000,00;15015
R$ 112.500,00;28123
R$ 1.356.447,00;25555
R$ 0,00;15151
R$ 800.000,00;17000
R$ 0,00;90000
R$ 0,00;36127
R$ 531.640,00;25255
R$ 0,00;13331
R$ 406.500,00;20123
R$ 0,00;36336
R$ 2.469.571,00;40111
R$ 0,00;43789
R$ 0,00;31670
R$ 0,00;51233
R$ 0,00;36008
R$ 10.000,00;65666
R$ 0,00;27332
R$ 0,00;51197
R$ 20.000,00;45045
R$ 110.000,00;23190
R$ 685.513,00;20190
R$ 0,00;36006
R$ 0,00;54888
R$ 50.000,00;65411
R$ 143.000,00;17001
R$ 0,00;11567
R$ 400.000,00;45050
R$ 6.590.297,00;22456
R$ 0,00;17543
R$ 295.652,00;14000
R$ 0,00;17123
R$ 0,00;50056
R$ 0,00;43999
R$ 2.519.933,00;25170
R$ 4.210.053,00;25456
R$ 0,00;54654
R$ 0,00;36130
R$ 0,00;14333
R$ 1.040.000,00;36360
R$ 147.740,00;65511
R$ 0,00;20115
R$ 0,00;13817
R$ 45.000,00;54789
R$ 65.000,00;51801
R$ 0,00;36669
R$ 0,00;20800
R$ 100.000,00;20320
R$ 50.000,00;19200
R$ 1.909.000,00;15333
R$ 2.750.624,00;45556
R$ 29.500,00;65777
R$ 0,00;15007
R$ 2.735.631,00;25161
R$ 35.000,00;20677
R$ 168.871,00;17177
R$ 14.000,00;28111
R$ 110.000,00;10595
R$ 0,00;28880
R$ 562.757,00;25123
R$ 1.603.694,00;20121
R$ 0,00;65233
R$ 0,00;36689
R$ 399.502,00;65029
R$ 1.284.000,00;11123
R$ 0,00;54001
R$ 150.000,00;27456
R$ 0,00;36044
R$ 0,00;27026
R$ 5.630,00;51900
R$ 142.000,00;12888
R$ 0,00;51077
R$ 30.000,00;27555
R$ 245.900,00;65000
R$ 135.000,00;28887
R$ 105.000,00;50321
R$ 0,00;31300
R$ 35.000,00;50789
R$ 0,00;51006
R$ 315.000,00;44111
R$ 45.000,00;36120
R$ 59.000,00;50345
R$ 0,00;36018
R$ 1.372.029,00;22700
R$ 706.952,00;77007
R$ 10.000,00;51212
R$ 0,00;31777
R$ 1.733,00;18222
R$ 121.700,00;65065
R$ 0,00;51333
R$ 0,00;15345
R$ 1.656.000,00;51345
R$ 0,00;50105
R$ 156.000,00;51789
R$ 1.686.500,00;65400
R$ 12.000,00;22123
R$ 1.510.000,00;11122
R$ 845.000,00;65199
R$ 1.940.118,00;13222
R$ 155.000,00;65456
R$ 479.448,00;65153
R$ 392.961,00;55055
